Time,mean_cpu_usage_rate,canonical_memory_usage,assigned_memory_usage,total_page_cache_memory_usage,maximum_memory_usage,mean_disk_io_time,mean_local_disk_space_used,maximum_cpu_usage,sampled_cpu_usage
1570,0.157013306,0.148940206,0.188453664,0.043542045,0.155901991,0.055546033,0.000669988,0.659729372,0.103761915
1575,0.156277774,0.152565687,0.192763687,0.044657626,0.159602912,0.058515667,0.000695677,0.661876669,0.103470452
1580,0.150995741,0.150963206,0.190997841,0.044188565,0.157542786,0.058316744,0.000682786,0.655821518,0.099581017
1585,0.150419878,0.152305844,0.192412162,0.044534883,0.159476069,0.058469244,0.000684551,0.64051047,0.100432271
1590,0.139706589,0.147605512,0.186086427,0.043314891,0.153965397,0.04669121,0.000663102,0.609180565,0.088760613
1595,0.147145401,0.152719481,0.191990395,0.045138781,0.159448247,0.046362057,0.000700754,0.620543718,0.09620995
1600,0.135972335,0.143219469,0.180057458,0.042805629,0.149477941,0.03106411,0.000652344,0.590700541,0.084016155
1605,0.132086017,0.138883511,0.17500327,0.042768661,0.144642982,0.025113139,0.000635331,0.522356344,0.083176207
1610,0.134453678,0.140855006,0.176950378,0.044608769,0.146718012,0.023580415,0.000605179,0.518217792,0.084699328
1615,0.151277514,0.14895183,0.188485205,0.046838968,0.154531984,0.042216981,0.000628493,0.611267418,0.103198981
1620,0.146232491,0.145327232,0.184338869,0.04528996,0.150484499,0.049046232,0.000620882,0.586750678,0.09979078
1625,0.149737399,0.142944969,0.180129084,0.043615869,0.148521051,0.039820114,0.000598622,0.581214816,0.09914291
1630,0.159235783,0.142940177,0.180960217,0.042623944,0.149049264,0.052241798,0.000583318,0.645173077,0.114388204
1635,0.143985556,0.142638368,0.181353032,0.042073257,0.148811312,0.052197755,0.000586489,0.624172669,0.101208901
1640,0.14514027,0.144573189,0.18427808,0.041546279,0.150825285,0.051810004,0.000589777,0.657266121,0.106757926
1645,0.137431665,0.140354803,0.181314969,0.040813788,0.146645597,0.055600211,0.000576984,0.651592038,0.10370153
1650,0.132157046,0.136872788,0.176883177,0.039379968,0.142466174,0.047024737,0.000562288,0.605858788,0.095364103
1655,0.132371084,0.135436746,0.17627089,0.039124249,0.141278895,0.055080854,0.000552322,0.654578609,0.100811793
1660,0.135349367,0.13286774,0.17390682,0.038542677,0.138770032,0.058414859,0.00053655,0.655712021,0.10887963
1665,0.128583765,0.131707878,0.170915342,0.037881356,0.137546859,0.046537148,0.000523702,0.619297577,0.096546548
1670,0.122878753,0.130527791,0.169000545,0.037744627,0.135921389,0.046928629,0.000509602,0.594513924,0.088200419
1675,0.133927779,0.132699969,0.172127266,0.037716299,0.138352926,0.048638288,0.00051605,0.652461469,0.1017243
1680,0.137372492,0.140422701,0.182145045,0.03982901,0.146300024,0.04975557,0.000546257,0.666975631,0.105364545
1685,0.121678833,0.131812514,0.170670224,0.037493071,0.137355833,0.045885002,0.000510473,0.637597978,0.094141312
1690,0.128062854,0.132989118,0.172055763,0.037927548,0.13914914,0.05245274,0.000512498,0.647453297,0.09785495
1695,0.129240325,0.129093872,0.167256298,0.036770614,0.134923762,0.059448346,0.000497815,0.62740699,0.095542855
1700,0.132528116,0.135901331,0.175629852,0.038685564,0.141826281,0.055398097,0.000518328,0.656377195,0.095955891
1705,0.118593238,0.13213155,0.168930547,0.037441172,0.137410818,0.025299323,0.000501264,0.569914407,0.075542537
1710,0.124308945,0.133857362,0.170856823,0.037660221,0.13920135,0.024794651,0.000506134,0.578073114,0.080760526
1715,0.112029996,0.130576384,0.166862368,0.036793212,0.135576004,0.020360087,0.000495129,0.549670632,0.069338626
1720,0.113640714,0.131176494,0.167501072,0.037112315,0.136086434,0.018676397,0.000500333,0.542727551,0.071728247
1725,0.119002719,0.129018509,0.164901093,0.036294811,0.136873609,0.027761634,0.000492155,0.574685053,0.082087524
1730,0.123210362,0.121342303,0.158767859,0.037215581,0.127772966,0.023053947,0.000485232,0.636706308,0.082434175
1735,0.122534624,0.127036203,0.164951819,0.039106947,0.1336068,0.022569626,0.000501074,0.620310667,0.081500961
1740,0.128157698,0.127926888,0.165834869,0.039162196,0.134619014,0.021648987,0.000501911,0.630013586,0.089003481
1745,0.129960023,0.124469195,0.160829378,0.037726817,0.130411729,0.028335709,0.000489436,0.622053912,0.087079865
1750,0.134604087,0.125025962,0.161623121,0.037770523,0.13122682,0.031889242,0.000489129,0.640503524,0.09027139
1755,0.132225654,0.126306818,0.163910981,0.038463715,0.132676986,0.035219702,0.000497173,0.647967,0.08918476
1760,0.142248329,0.124761873,0.162619359,0.038244996,0.130882313,0.064459381,0.00049691,0.678171855,0.113554139
1765,0.141018195,0.125704012,0.163463495,0.038803118,0.131777746,0.058282318,0.000498812,0.658044964,0.11312008
1770,0.140223645,0.127053195,0.16481061,0.03949125,0.132726609,0.052453546,0.000506158,0.639781732,0.111178606
1775,0.146252713,0.128125855,0.166889806,0.041421942,0.134208306,0.058854537,0.000509891,0.661799541,0.125886878
1780,0.146756219,0.128087724,0.164733451,0.041700053,0.133643416,0.04225722,0.000507319,0.608193161,0.122505369
1785,0.148919643,0.132615802,0.168721359,0.044790477,0.138335975,0.037875527,0.000519065,0.598385229,0.117870813
1790,0.149725463,0.130464418,0.167101698,0.044635871,0.135701464,0.043484456,0.000514952,0.600171324,0.117955959
1795,0.136400017,0.127632314,0.163264568,0.043619757,0.132732977,0.032793752,0.000511946,0.577460863,0.102845093
1800,0.141292779,0.128937274,0.167139883,0.043634577,0.134381907,0.045294241,0.000518392,0.606343342,0.116107124
1805,0.130697589,0.133745153,0.171098126,0.044267603,0.139241414,0.029899638,0.000536889,0.561734141,0.095731883
1810,0.141137111,0.132302575,0.172708264,0.043204645,0.138645661,0.055477193,0.000534331,0.665409854,0.118496192
1815,0.117694628,0.123338274,0.157982586,0.038840097,0.128454925,0.026259496,0.000495543,0.526527691,0.083130876
1820,0.109498583,0.120515745,0.154935075,0.036974946,0.125485688,0.037050155,0.000486069,0.526664391,0.077566079
1825,0.126332522,0.124207511,0.162026539,0.03879088,0.130672285,0.062650942,0.000500865,0.631355892,0.09643836
1830,0.134393704,0.12649147,0.16377837,0.04127319,0.134004617,0.057585094,0.000495951,0.642574988,0.102110838
1835,0.136764058,0.129258088,0.167532296,0.042281155,0.136169349,0.064132879,0.000505141,0.664761757,0.104093735
1840,0.141703997,0.130878266,0.169366056,0.042429577,0.137386416,0.063934552,0.000509316,0.674899497,0.109523632
1845,0.144643111,0.131959687,0.170115644,0.042733061,0.138740462,0.059063059,0.000507758,0.682605,0.113825835
1850,0.145938222,0.132197953,0.170632726,0.042485652,0.138907544,0.055370027,0.000509547,0.664775723,0.120542925
