Time,cpu_util_percent,mem_util_percent,net_in,net_out,disk_usage_percent
4400,18.4947,85.7517,34.9337,27.6927,3.7994
4410,17.2844,85.4846,34.8811,27.6443,3.8095
4420,17.3697,85.5142,34.9108,27.6667,3.8007
4430,18.665,85.5242,34.9162,27.6751,3.8044
4440,20.4181,85.4522,34.9104,27.67,4.023
4450,18.9716,85.355,34.9127,27.6738,4.0229
4460,16.702,85.2242,34.9159,27.6828,4.0266
4470,16.108,85.1386,34.9128,27.674,4.0229
4480,16.1672,85.0809,34.9087,27.6697,4.0206
4490,15.6239,84.8941,34.9104,27.6715,4.0192
4500,16.8264,84.9375,34.9289,27.6887,3.5292
4510,22.2115,85.1291,34.9191,27.6689,3.5545
4520,20.235,85.3376,34.9305,27.6828,3.5844
4530,20.4357,85.4604,34.9217,27.6791,3.5718
4540,20.1758,85.4741,34.9329,27.6937,3.5381
4550,20.1179,85.3534,34.9385,27.6922,3.5734
4560,20.3769,85.2924,34.9395,27.6937,4.0812
4570,23.7233,85.5962,34.9056,27.6676,4.0959
4580,24.5926,85.9828,34.9121,27.6731,4.095
4590,28.4113,86.6041,34.9112,27.6721,4.0955
4600,33.804,86.9972,34.9126,27.6734,4.095
4610,32.2807,87.2891,34.9129,27.6735,4.095
4620,32.972,87.7296,34.8938,27.6573,4.2597
4630,35.5023,88.298,34.9003,27.6647,4.2584
4640,32.6837,88.7708,34.9019,27.6653,4.2585
4650,30.7976,89.0942,34.9032,27.6657,4.2579
4660,29.2156,89.2445,34.9022,27.6655,4.2585
4670,28.8275,89.5685,34.8823,27.6477,4.2498
4680,30.1909,90.1095,34.8871,27.648,4.0619
4690,34.8522,90.6207,34.8882,27.6492,4.0611
4700,33.8532,90.9787,34.9065,27.6467,3.9142
4710,32.697,91.5145,34.8842,27.6425,3.9986
4720,41.0918,92.3479,34.8852,27.6386,3.9501
4730,49.833,92.0599,34.879,27.633,3.9481
4740,50.3019,90.927,34.8774,27.6324,5.5064
4750,50.4955,90.8682,34.8783,27.6333,5.5059
4760,49.8696,90.8409,34.8926,27.6458,5.5073
4770,47.5835,91.0532,34.8929,27.646,5.5073
4780,45.8057,91.3232,34.8999,27.6448,5.5021
4790,43.5183,91.3695,34.8927,27.6366,5.4886
4800,41.8996,91.1777,34.9211,27.6695,5.977
4810,44.8685,90.9542,34.9241,27.6748,6.0014
4820,40.7986,90.5651,34.916,27.6675,6.0028
4830,42.11,90.0426,34.9246,27.6751,6.0014
4840,40.9083,89.2356,34.9248,27.6753,6.0014
4850,38.624,88.4743,34.903,27.6378,6.0822
4860,37.7624,87.9524,34.8599,27.6148,6.5095
4870,38.3721,87.6021,34.9005,27.6523,6.5564
4880,37.0087,87.3999,34.9228,27.6666,6.5576
4890,35.8272,86.8828,34.9143,27.6525,6.5755
4900,33.8377,85.7268,34.95,27.6875,6.5889
4910,32.8353,85.1866,34.948,27.6854,6.5893
4920,32.5,85.151,34.9533,27.6882,5.505
4930,32.4234,85.1403,34.9471,27.6832,5.5042
4940,30.8688,85.1357,34.9484,27.6857,5.5035
4950,28.9585,84.2532,34.9459,27.6833,5.5045
4960,27.9691,84.0679,34.9486,27.6859,5.5035
4970,26.8628,83.8004,34.9487,27.6859,5.5035
4980,26.2419,83.7561,34.9466,27.6851,4.3113
4990,29.3297,83.8068,34.975,27.705,4.2369
5000,28.4777,83.7988,34.9732,27.7095,4.2493
5010,31.3689,83.9989,34.9702,27.7025,4.2521
5020,30.3197,84.0426,34.9834,27.7202,4.2534
5030,29.5107,84.1064,34.9961,27.7267,4.2512
5040,30.6541,83.956,34.9778,27.7123,4.0005
